,Player,all-nba,Season,Age,G,GS,MP_per_game,FG,FGA,FG_Perc,3P,3PA,3P_Perc,2P,2PA,2P_Perc,eFG_Perc,FT,FTA,FT_Perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS_Perc,3PAr,FTr,ORB_Perc,DRB_Perc,TRB_Perc,AST_Perc,STL_Perc,BLK_Perc,TOV_Perc,USG_Perc,OWS,DWS,WS,WS_per_48,OBPM,DBPM,BPM,VORP
293,Wesley Johnson,0,2011.0,24.0,64.66666666666667,49.333333333333336,22.633333333333336,3.0,7.533333333333334,0.40066666666666667,1.0333333333333334,3.1333333333333333,0.33099999999999996,1.9666666666666668,4.433333333333334,0.44966666666666666,0.4693333333333333,0.5666666666666668,0.7999999999999999,0.7243333333333334,0.4666666666666666,2.2666666666666666,2.733333333333333,1.1666666666666667,0.5333333333333333,0.6,1.0333333333333334,1.6666666666666667,7.666666666666667,9.5,0.4843333333333333,0.4136666666666667,0.103,2.3333333333333335,11.466666666666667,6.800000000000001,7.766666666666666,1.2666666666666666,1.8999999999999997,11.566666666666665,17.5,-0.16666666666666666,0.7999999999999999,0.6333333333333333,0.017,-1.8666666666666665,-0.5,-2.3666666666666667,-0.033333333333333326
294,Gordon Hayward,0,2011.0,21.0,70.0,34.0,25.53333333333333,3.5666666666666664,7.8999999999999995,0.4586666666666667,0.9,2.2666666666666666,0.41133333333333333,2.6666666666666665,5.6000000000000005,0.47633333333333333,0.516,2.433333333333333,2.9666666666666663,0.79,0.7333333333333334,2.1333333333333333,2.8333333333333335,2.4,0.6666666666666666,0.4666666666666666,1.4666666666666668,1.5999999999999999,10.433333333333335,14.333333333333334,0.57,0.2806666666666667,0.36900000000000005,3.3666666666666667,9.833333333333334,6.6000000000000005,14.266666666666666,1.4000000000000001,1.4333333333333336,14.233333333333334,18.400000000000002,2.9333333333333336,0.8666666666666666,3.8333333333333335,0.09566666666666668,1.0,-0.5666666666666668,0.4333333333333333,1.2666666666666666
295,Blake Griffin,1,2011.0,22.0,76.0,76.0,35.56666666666667,8.066666666666666,15.233333333333333,0.531,0.06666666666666667,0.3,0.19866666666666666,8.033333333333333,14.933333333333332,0.538,0.533,4.2,6.966666666666666,0.6076666666666667,2.9666666666666663,7.466666666666666,10.433333333333334,3.5666666666666664,0.9333333333333332,0.6,2.433333333333333,3.1,20.400000000000002,22.566666666666663,0.5593333333333333,0.019666666666666666,0.45333333333333337,9.866666666666665,24.5,17.200000000000003,18.4,1.4000000000000001,1.4666666666666668,11.800000000000002,26.433333333333337,6.633333333333333,3.3000000000000003,9.866666666666667,0.17766666666666664,3.366666666666667,0.10000000000000002,3.466666666666667,3.6666666666666665
296,Paul George,1,2011.0,21.0,68.66666666666667,54.666666666666664,29.333333333333332,4.466666666666666,10.366666666666667,0.43733333333333335,1.4333333333333333,3.9,0.34800000000000003,3.0999999999999996,6.400000000000001,0.48866666666666664,0.5020000000000001,2.1,2.6666666666666665,0.7903333333333333,0.8333333333333334,4.8,5.633333333333333,2.533333333333333,1.4666666666666668,0.5333333333333333,1.9333333333333336,2.6333333333333333,12.433333333333332,15.433333333333332,0.5426666666666667,0.3713333333333333,0.25799999999999995,3.3000000000000003,17.733333333333334,10.566666666666666,13.833333333333334,2.6666666666666665,1.4333333333333333,14.299999999999999,20.2,2.0,3.7999999999999994,5.8,0.128,0.4333333333333333,1.9333333333333333,2.3666666666666667,2.566666666666667
297,Derrick Favors,0,2011.0,20.0,73.33333333333333,14.666666666666666,21.366666666666664,3.266666666666666,6.5,0.49933333333333335,0.0,0.03333333333333333,0.0,3.266666666666666,6.466666666666666,0.501,0.49933333333333335,1.8333333333333333,2.8666666666666667,0.644,2.3333333333333335,3.9666666666666663,6.3,0.7333333333333334,0.6333333333333333,1.2,1.4333333333333333,2.866666666666667,8.333333333333334,16.166666666666668,0.5373333333333333,0.0029999999999999996,0.4366666666666667,12.6,21.866666666666664,17.2,5.333333333333333,1.4666666666666668,4.333333333333333,15.233333333333334,19.466666666666665,1.4666666666666668,1.9666666666666668,3.4333333333333336,0.10433333333333333,-1.6000000000000003,0.0,-1.6000000000000003,0.16666666666666666
298,Jeremy Evans,0,2011.0,24.0,38.333333333333336,1.0,7.566666666666666,1.0666666666666667,1.633333333333333,0.6393333333333334,0.0,0.0,0.0,1.0666666666666667,1.633333333333333,0.6513333333333334,0.6393333333333334,0.4666666666666666,0.7666666666666666,0.613,0.6999999999999998,1.0666666666666667,1.7666666666666668,0.39999999999999997,0.2333333333333333,0.5,0.26666666666666666,0.8666666666666667,2.566666666666667,19.433333333333334,0.6503333333333333,0.018666666666666668,0.48433333333333334,11.066666666666668,16.76666666666667,13.866666666666665,8.533333333333333,1.8,5.533333333333334,11.299999999999999,13.4,0.8333333333333334,0.3333333333333333,1.1333333333333333,0.18933333333333333,1.3,1.7999999999999998,3.1,0.3666666666666667
299,Ed Davis,0,2011.0,22.0,70.66666666666667,18.0,22.633333333333336,3.0333333333333337,5.6000000000000005,0.5426666666666667,0.0,0.0,0.0,3.0333333333333337,5.6000000000000005,0.5433333333333333,0.5426666666666667,1.1666666666666667,1.9000000000000001,0.614,2.1666666666666665,4.3,6.466666666666666,0.7666666666666666,0.5666666666666667,1.0,0.8333333333333334,2.533333333333333,7.233333333333333,15.933333333333332,0.5626666666666668,0.001,0.33499999999999996,11.133333333333333,22.7,16.833333333333332,5.666666666666667,1.3,3.6,11.733333333333334,14.9,2.466666666666667,1.9333333333333333,4.433333333333334,0.133,-0.5333333333333333,0.13333333333333333,-0.3333333333333333,0.6666666666666666
300,Jordan Crawford,0,2011.0,23.0,58.666666666666664,21.333333333333332,25.433333333333334,4.8,11.966666666666667,0.39966666666666667,1.0666666666666667,3.6,0.29466666666666663,3.6999999999999997,8.366666666666667,0.4443333333333333,0.445,2.0,2.5,0.8243333333333333,0.6666666666666666,2.033333333333333,2.6999999999999997,3.0,0.7999999999999999,0.10000000000000002,2.066666666666667,1.5666666666666667,12.666666666666666,13.366666666666667,0.48533333333333334,0.30266666666666664,0.20666666666666667,3.033333333333333,9.200000000000001,6.066666666666667,20.866666666666667,1.6333333333333335,0.2333333333333333,13.766666666666667,26.8,-0.16666666666666666,0.9666666666666667,0.7999999999999999,0.018333333333333333,-0.26666666666666666,-1.8333333333333333,-2.1333333333333333,0.033333333333333326
301,DeMarcus Cousins,1,2011.0,21.0,73.33333333333333,66.0,29.833333333333332,6.233333333333334,13.933333333333332,0.44766666666666666,0.03333333333333333,0.2333333333333333,0.164,6.233333333333334,13.700000000000001,0.453,0.44933333333333336,3.9,5.466666666666666,0.709,3.266666666666667,6.6000000000000005,9.833333333333334,2.2666666666666666,1.3,0.9,3.0,3.9,16.433333333333334,18.833333333333332,0.5023333333333334,0.017666666666666667,0.39366666666666666,11.833333333333334,25.766666666666666,18.566666666666666,13.166666666666666,2.233333333333333,2.266666666666667,15.6,28.333333333333332,0.7333333333333334,2.4666666666666663,3.233333333333334,0.07266666666666667,-0.5333333333333334,-0.5666666666666667,-1.0666666666666667,0.4666666666666666
302,Avery Bradley,0,2011.0,21.0,48.333333333333336,26.0,18.433333333333334,2.533333333333333,6.033333333333334,0.4143333333333333,0.3666666666666667,1.1666666666666667,0.24133333333333332,2.1666666666666665,4.8,0.438,0.43733333333333335,0.6333333333333333,0.8666666666666667,0.6833333333333332,0.39999999999999997,1.1,1.5,1.3,0.7666666666666666,0.20000000000000004,1.0333333333333332,1.6333333333333335,6.166666666666667,7.433333333333334,0.4586666666666667,0.15766666666666668,0.15866666666666665,2.9333333333333336,7.5,5.366666666666667,11.433333333333335,2.3333333333333335,0.5666666666666667,15.133333333333333,20.933333333333334,-0.5,1.2666666666666666,0.7666666666666666,-0.014000000000000004,-5.7,0.2333333333333333,-5.5,-0.3
303,Trevor Booker,0,2011.0,24.0,54.333333333333336,20.0,20.03333333333333,2.6666666666666665,5.1,0.5236666666666667,0.0,0.03333333333333333,0.16666666666666666,2.6666666666666665,5.066666666666666,0.5283333333333334,0.524,0.9666666666666668,1.6666666666666667,0.6103333333333333,1.9666666666666668,3.1333333333333333,5.133333333333334,0.7000000000000001,0.6999999999999998,0.6,0.7999999999999999,2.1999999999999997,6.333333333333333,14.866666666666667,0.5466666666666667,0.011000000000000001,0.333,11.0,17.8,14.299999999999999,5.900000000000001,1.7666666666666666,2.3333333333333335,11.833333333333334,14.666666666666666,1.4333333333333336,1.2,2.6333333333333333,0.11933333333333333,-0.9666666666666667,0.09999999999999999,-0.9,0.3
304,Eric Bledsoe,0,2011.0,22.0,65.66666666666667,12.666666666666666,18.23333333333333,2.3333333333333335,5.566666666666666,0.41933333333333334,0.3333333333333333,1.0666666666666667,0.291,2.033333333333333,4.466666666666667,0.457,0.44766666666666666,1.0999999999999999,1.5,0.7236666666666666,0.7999999999999999,1.6333333333333335,2.466666666666667,2.8000000000000003,1.0999999999999999,0.4666666666666666,1.7999999999999998,1.5333333333333332,6.166666666666667,13.166666666666666,0.48866666666666675,0.20466666666666666,0.28633333333333333,5.366666666666667,10.666666666666666,8.0,23.099999999999998,3.3000000000000003,2.1999999999999997,22.866666666666664,19.833333333333332,-0.20000000000000004,1.6000000000000003,1.4000000000000001,0.04833333333333334,-1.5,1.4000000000000001,-0.10000000000000009,0.7000000000000001
